target,model,split,seed,rmse,mae,nse,pi,rmse_monsoon,n,n_monsoon,feature_set,description,n_features,ridge_alpha,lgbm_best_iteration
Baruria,ridge,val,,0.06297044064775206,0.04408350471746578,0.9989871473123528,0.7296364990475123,0.06989302598590937,328,86,B,A + own Rainfall_Level,8.0,0.01,
Baruria,ridge,test,,0.05896583954543732,0.038968721350078867,0.9992241589353609,0.6469688564723475,0.053692285573141436,1096,369,B,A + own Rainfall_Level,8.0,0.01,
Baruria,lightgbm,val,,0.08400377196594498,0.059062171553731925,0.9981975202480986,0.5188592160898584,0.07664082281219678,328,86,B,A + own Rainfall_Level,8.0,,1346.0
Baruria,lightgbm,test,,0.07292355516021269,0.04894902953165195,0.9988133914961016,0.4600572512287646,0.07070176641707247,1096,369,B,A + own Rainfall_Level,8.0,,1346.0
Baruria,ridge,val,,0.031337332140773,0.022962065098653908,0.9997491599599554,0.9330425912547357,0.03654744157185828,328,86,C,A + upstream WL and WLD-1..7 (brief layout),87.0,0.1,
Baruria,ridge,test,,0.02908247064216369,0.021322895329383834,0.9998112728477467,0.9141234391793027,0.029097025192739795,1096,369,C,A + upstream WL and WLD-1..7 (brief layout),87.0,0.1,
Baruria,lightgbm,val,,0.05516673608157371,0.040191091655650456,0.9992226306741981,0.7924947082432058,0.0580695180313101,328,86,C,A + upstream WL and WLD-1..7 (brief layout),87.0,,1062.0
Baruria,lightgbm,test,,0.06057607485459743,0.042209173956143646,0.9991812071379821,0.6274244899309261,0.049707701310891,1096,369,C,A + upstream WL and WLD-1..7 (brief layout),87.0,,1062.0
Baruria,ridge,val,,0.031329672095396555,0.02298197260588237,0.9997492825748124,0.9330753211694045,0.036455481238947006,328,86,D,C + own Rainfall_Level,88.0,0.1,
Baruria,ridge,test,,0.02909290422237383,0.021343548183204077,0.9998111374085593,0.9140618102537362,0.02908877678927561,1096,369,D,C + own Rainfall_Level,88.0,0.1,
